lead_time,stays_in_weekend_nights,stays_in_week_nights,Average Daily Rate,total_of_special_requests,is_canceled
29,2,1,120.6,0,0
107,2,4,138.0,1,0
6,1,1,107.0,0,0
166,1,3,130.5,1,0
155,2,1,137.7,2,0
45,1,3,96.9,0,0
3,1,2,86.0,0,0
76,2,4,241.67,2,0
138,4,10,234.17,0,0
178,0,4,93.08,1,0
191,0,1,71.1,0,0
2,0,3,116.4,3,0
28,1,0,65.0,1,0
46,0,2,150.0,2,0
12,2,1,87.75,2,0
161,2,5,81.62,0,0
154,0,1,35.16,2,0
25,0,2,160.0,1,0
46,0,3,129.6,2,0
214,3,7,138.0,1,0
170,0,3,84.0,1,0
0,0,2,160.0,1,0
1,0,1,65.0,2,0
276,1,4,142.5,0,0
11,0,3,95.33,1,0
47,2,5,175.71,0,0
14,0,3,116.49,0,0
6,2,2,103.36,1,0
13,1,5,159.0,1,0
67,0,1,240.0,0,0
21,0,3,146.67,1,0
1,0,1,97.0,0,0
35,0,2,66.0,1,0
117,2,3,116.05,1,0
24,0,3,122.0,0,0
94,2,4,65.84,1,0
109,2,0,60.98,1,0
286,2,3,101.22,1,0
5,0,1,67.5,0,0
82,0,2,79.2,1,0
11,2,2,210.0,1,0
67,2,3,123.0,1,0
38,2,1,104.4,0,0
142,2,5,82.63,2,0
10,2,3,75.0,2,0
268,2,5,57.15,1,0
1,2,2,116.0,1,0
98,0,4,109.65,2,0
10,1,0,178.2,1,0
22,2,2,115.0,1,0
39,0,2,140.0,0,0
29,1,2,143.03,3,0
4,0,4,145.0,2,0
52,0,2,79.2,2,0
156,1,2,90.0,1,0
0,1,2,96.27,1,0
47,1,2,108.0,0,0
25,0,1,140.0,1,0
14,0,2,98.0,1,0
22,2,4,311.33,2,0
9,0,1,128.0,2,0
144,0,3,126.0,2,0
47,2,1,103.18,1,0
19,0,3,120.12,2,0
17,0,1,230.0,2,0
0,1,1,159.0,0,0
84,2,5,82.45,0,0
0,1,0,89.0,0,0
78,0,3,42.0,2,0
53,0,2,160.0,1,0
57,0,1,218.0,2,0
0,0,1,34.4,0,0
176,0,3,42.45,1,0
210,2,5,87.18,1,0
2,0,1,48.0,1,0
10,0,2,117.81,0,0
22,2,3,219.0,3,0
5,1,1,153.0,1,0
98,1,3,193.0,1,0
24,1,1,160.0,1,0
85,0,3,79.2,2,0
4,0,1,140.0,2,0
137,4,6,175.56,1,0
44,1,2,207.9,0,0
10,0,1,48.0,2,0
11,0,2,90.0,1,0
113,0,2,155.0,1,0
7,0,1,160.0,0,0
6,2,6,75.0,0,0
77,0,5,108.65,2,0
16,0,4,141.0,1,0
1,0,2,48.0,1,0
332,1,3,77.23,0,0
4,2,6,136.02,0,0
119,2,3,123.2,1,0
232,0,2,87.32,1,0
51,2,1,114.0,1,0
173,3,5,69.53,0,0
15,0,3,121.0,1,0
11,0,2,129.0,2,0
5,2,2,63.0,0,0
4,0,2,79.0,2,0
54,0,3,104.4,1,0
12,0,2,77.0,1,0
79,1,4,200.0,0,0
19,2,5,162.29,2,0
77,2,1,86.0,2,0
186,6,15,54.97,3,0
80,2,3,149.4,3,0
39,2,5,98.29,0,0
12,2,5,133.29,1,0
114,2,2,221.49,2,0
91,0,2,86.63,0,0
28,0,3,190.0,1,0
38,0,4,148.95,2,0
1,0,1,160.0,0,0
12,2,1,101.0,2,0
81,1,2,230.0,0,0
131,1,1,164.25,2,0
2,2,0,118.0,1,0
73,1,2,62.29,1,0
36,1,3,91.2,0,0
6,1,0,96.0,1,0
154,2,7,58.2,1,0
22,0,2,61.0,1,0
64,2,5,103.97,0,0
69,1,2,114.0,2,0
185,0,2,81.77,2,0
167,2,5,76.57,0,0
336,1,5,67.15,2,0
8,0,1,106.25,1,0
10,1,0,120.35,1,0
7,0,2,49.6,0,0
138,0,4,68.0,2,0
88,1,3,57.61,0,0
135,0,2,151.2,2,0
7,0,3,173.0,0,0
71,0,2,79.2,2,0
3,1,2,132.6,2,0
10,1,0,48.0,2,0
151,2,1,166.5,1,0
100,2,1,72.25,2,0
207,3,6,146.0,2,0
171,4,8,110.5,2,0
32,1,3,190.0,1,0
6,2,0,71.5,0,0
87,2,1,160.0,2,0
83,0,3,87.07,2,0
102,2,2,122.85,2,0
30,0,3,120.0,0,0
130,2,0,140.0,1,0
116,0,4,82.5,2,0
18,0,1,158.0,1,0
14,1,4,265.0,2,0
1,1,0,179.0,2,0
49,2,2,301.2,1,0
15,0,2,98.0,0,0
251,2,3,125.1,1,0
0,1,0,88.2,0,0
290,2,3,90.95,0,0
76,2,4,69.12,0,0
110,1,1,108.0,1,0
19,1,2,135.0,0,0
191,0,3,89.17,2,0
59,2,1,68.45,2,0
76,2,3,100.3,3,0
17,0,2,124.0,2,0
64,0,3,120.0,1,0
29,0,4,150.45,3,0
2,0,3,183.33,1,0
65,0,4,67.15,1,0
1,0,2,144.5,0,0
77,0,2,79.2,1,0
0,1,4,48.0,1,0
56,2,3,115.09,2,0
0,0,3,121.33,0,0
317,1,5,72.9,2,0
0,1,1,216.0,1,0
57,0,3,80.3,0,0
127,1,2,79.2,1,0
29,0,2,201.25,3,0
29,1,0,75.0,1,0
10,0,2,204.0,2,0
26,2,2,65.84,2,0
200,1,3,90.09,1,0
19,0,0,0.0,0,0
70,0,4,70.69,1,0
38,2,2,264.0,2,0
2,1,0,101.7,1,0
167,2,2,166.5,0,0
151,2,5,144.0,2,0
118,0,4,90.95,1,0
13,1,2,126.3,2,0
9,2,2,84.5,2,0
83,0,2,83.59,0,0
8,0,2,160.0,1,0
2,0,1,160.0,1,0
1,0,1,64.0,0,0
4,1,3,109.23,3,0
229,0,2,139.5,1,0
96,0,4,118.8,2,0
24,1,2,114.0,1,0
123,0,2,117.3,1,0
79,0,3,149.1,1,0
24,2,2,90.1,2,0
0,1,1,61.6,1,0
220,2,5,119.29,1,0
113,2,4,126.0,0,0
55,0,1,189.0,1,0
345,2,2,92.4,1,0
197,4,10,71.96,1,0
23,2,3,72.08,0,0
72,1,2,87.55,1,0
141,0,3,106.5,1,0
49,1,1,159.3,2,0
0,1,0,65.0,1,0
2,0,1,210.0,2,0
21,2,3,108.8,0,0
89,1,4,147.6,1,0
12,0,2,80.0,0,0
94,0,3,169.5,1,0
9,2,1,177.0,2,0
72,0,4,117.3,0,0
49,2,2,126.9,1,0
253,1,0,115.2,2,0
90,0,3,105.3,1,0
28,2,2,91.8,0,0
2,0,3,87.78,0,0
2,1,2,227.81,0,0
88,1,4,120.8,2,0
250,0,5,115.42,0,0
61,0,3,118.8,0,0
8,0,1,119.0,0,0
2,1,0,88.2,1,0
1,0,1,39.0,0,0
15,0,4,54.0,2,0
0,0,2,59.0,1,0
18,2,0,43.12,1,0
163,0,5,37.0,0,0
21,1,2,67.0,1,0
68,2,5,217.43,0,0
3,1,2,133.0,2,0
12,1,2,78.0,1,0
107,2,3,154.8,2,0
0,2,2,129.83,1,0
83,2,5,57.64,0,0
35,1,2,64.8,1,0
151,1,3,164.05,2,0
268,0,4,112.22,0,0
42,3,5,90.49,0,0
2,1,2,133.47,1,0
87,2,1,125.33,2,0
169,1,1,99.0,1,0
71,1,2,171.0,2,0
1,1,0,88.0,1,0
235,2,5,65.7,2,0
0,1,0,83.16,1,0
196,2,5,88.4,1,0
53,1,3,134.45,3,0
72,2,2,101.25,0,0
0,1,1,130.0,3,0
8,0,2,147.0,0,0
2,0,1,151.0,0,0
29,0,2,229.6,0,0
13,1,4,96.6,0,0
1,0,1,199.43,1,0
20,0,4,80.85,2,0
28,1,2,48.0,1,0
160,2,5,55.8,3,0
106,0,4,95.2,0,0
67,2,2,53.4,1,0
115,0,2,108.0,2,0
76,2,1,126.9,2,0
86,1,1,120.0,1,0
18,0,2,88.0,0,0
13,2,0,87.0,0,0
13,0,4,88.4,1,0
153,2,1,106.2,1,0
97,2,5,134.14,1,0
84,0,5,73.2,1,0
1,2,5,191.0,1,0
54,0,3,104.4,2,0
9,0,2,251.0,0,0
50,2,4,37.8,2,0
87,1,3,147.9,0,0
59,2,2,171.0,0,0
164,2,2,153.62,2,0
2,2,5,57.6,1,0
5,0,3,84.33,0,0
237,1,1,89.1,1,0
9,0,4,129.0,1,0
7,1,2,145.0,2,0
13,1,2,125.67,1,0
157,1,5,184.0,0,0
31,0,3,129.0,2,0
35,0,4,208.0,0,0
229,1,3,125.1,2,0
166,2,4,194.0,2,0
9,0,3,249.0,1,0
52,0,1,140.4,1,0
124,1,1,99.0,1,0
32,2,1,48.0,2,0
197,0,1,189.0,1,0
46,2,2,117.0,0,0
7,2,3,237.0,2,0
21,0,1,165.0,1,0
14,2,3,75.46,1,0
91,2,5,128.14,0,0
53,1,2,140.7,0,0
48,1,2,114.0,0,0
1,0,1,48.0,1,0
9,0,3,210.0,1,0
40,1,3,69.5,1,0
45,1,1,80.3,0,0
5,1,4,74.0,1,0
15,1,1,149.0,2,0
72,2,5,46.64,0,0
112,0,3,105.0,2,0
8,0,1,170.0,0,0
0,0,1,121.5,1,0
39,1,0,65.0,1,0
3,2,7,67.5,0,0
76,2,6,63.13,2,0
110,2,3,118.8,1,0
171,2,5,76.5,0,0
1,2,2,58.45,0,0
10,2,1,149.0,0,0
10,1,3,52.25,1,0
161,2,1,114.3,1,0
5,0,1,109.0,1,0
21,0,2,140.0,1,0
185,0,3,139.2,2,0
224,2,4,164.7,2,0
234,2,3,45.2,1,0
0,2,0,56.0,0,0
115,2,9,217.82,1,0
2,0,1,108.0,0,0
83,2,3,56.52,2,0
18,2,2,124.25,3,0
26,2,2,108.8,2,0
13,1,1,86.0,1,0
11,2,1,114.0,1,0
17,2,3,96.0,1,0
142,2,5,50.57,1,0
0,2,5,99.14,0,0
5,0,2,131.0,1,0
25,0,2,56.0,1,0
181,0,2,76.5,2,0
152,0,3,200.67,1,0
0,2,0,98.0,0,0
140,1,1,88.77,1,0
27,2,2,45.6,1,0
0,1,1,145.85,0,0
31,1,0,359.0,0,0
63,1,2,43.12,2,0
112,0,4,101.58,1,0
34,1,0,219.0,2,0
39,0,3,150.3,0,0
166,0,4,139.5,2,0
24,1,0,86.4,1,0
89,1,1,104.0,2,0
286,0,2,78.3,2,0
99,2,2,79.5,2,0
3,1,0,56.0,1,0
11,2,1,129.0,1,0
62,1,2,141.0,1,0
121,4,8,48.06,1,0
138,1,1,96.3,0,0
56,3,6,100.3,1,0
22,1,1,216.0,1,0
139,2,1,80.1,0,0
14,2,5,98.11,1,0
0,0,1,209.0,1,0
11,0,1,44.1,1,0
76,1,2,126.67,1,0
94,1,1,126.0,0,0
56,1,2,116.1,1,0
8,0,1,92.4,0,0
74,2,1,120.0,1,0
76,2,3,153.72,1,0
57,0,4,117.73,1,0
84,1,1,132.6,1,0
60,1,1,130.0,1,0
188,0,2,86.75,1,0
123,3,5,167.76,1,0
53,0,2,159.3,3,0
8,0,1,128.0,1,0
74,0,2,93.6,3,0
30,1,3,125.0,2,0
3,0,1,106.0,3,0
65,1,1,79.2,0,0
1,2,1,109.0,0,0
4,1,3,179.0,1,0
38,2,2,77.86,1,0
79,1,3,99.45,2,0
86,0,1,85.5,1,0
5,0,1,133.0,1,0
98,2,1,172.0,1,0
122,1,2,42.81,1,0
0,0,1,85.24,0,0
83,1,2,105.3,2,0
6,1,2,136.0,1,0
119,1,2,79.2,1,0
62,0,1,101.18,1,0
161,2,5,139.5,1,0
16,1,2,138.33,1,0
2,1,0,48.0,0,0
90,0,1,0.0,1,0
146,1,4,157.5,2,0
50,0,3,147.3,2,0
4,0,1,160.0,1,0
1,0,1,68.0,0,0
37,2,0,136.0,1,0
107,2,2,169.5,1,0
1,0,1,179.0,3,0
52,2,2,92.28,1,0
18,0,2,54.0,1,0
5,0,2,39.0,2,0
30,0,2,139.0,4,0
28,2,5,69.71,2,0
0,0,1,131.0,2,0
6,0,1,167.0,1,0
216,2,4,147.6,0,0
1,0,1,117.0,1,0
43,2,4,166.5,1,0
101,1,2,147.0,1,0
25,0,3,129.0,0,0
32,2,4,60.06,1,0
68,1,0,100.0,1,0
2,2,3,108.7,1,0
2,0,1,75.0,1,0
29,1,3,97.33,0,0
38,1,2,0.0,1,0
104,0,3,125.1,1,0
1,0,1,75.0,1,0
5,0,1,177.0,0,0
219,2,2,117.0,1,0
174,1,2,190.0,3,0
0,0,1,93.0,0,0
259,1,4,140.43,2,0
215,1,2,143.1,3,0
3,0,3,125.67,1,0
28,2,0,149.0,1,0
43,0,2,259.0,0,0
308,0,3,78.3,2,0
29,0,3,190.0,2,0
96,1,0,168.3,2,0
78,1,4,52.8,1,0
62,1,1,144.0,0,0
124,2,1,118.8,2,0
330,2,4,95.16,2,0
102,1,2,144.0,1,0
71,2,2,98.6,3,0
13,1,3,107.8,0,0
1,0,2,83.0,0,0
1,1,0,89.0,2,0
2,0,1,169.0,2,0
61,0,1,126.9,1,0
133,0,3,108.0,2,0
17,0,1,88.0,1,0
53,2,1,228.3,0,0
63,0,4,101.78,0,0
116,0,5,109.25,1,0
200,2,2,117.0,0,0
28,1,5,137.2,1,0
169,1,4,234.0,2,0
102,0,1,126.0,0,0
10,0,0,0.0,1,0
35,2,3,130.0,1,0
32,1,3,251.0,2,0
259,1,3,80.24,0,0
12,1,3,84.0,1,0
3,1,0,126.0,1,0
22,1,3,124.0,1,0
0,0,1,75.0,0,0
152,0,1,190.0,1,0
1,0,2,92.0,0,0
112,2,1,97.2,2,0
65,1,2,192.67,1,0
31,2,3,91.8,0,0
5,0,3,124.0,1,0
17,0,1,135.0,2,0
0,1,0,83.16,1,0
44,0,2,82.5,0,0
6,0,1,86.5,0,0
36,1,1,117.9,2,0
28,0,3,82.65,0,0
5,0,1,81.0,2,0
101,0,1,121.5,3,0
35,1,0,86.4,2,0
2,1,1,91.0,2,0
19,2,1,69.0,2,0
121,2,5,119.85,1,0
0,0,1,78.0,1,0
15,0,3,99.0,1,0
256,2,3,100.75,0,0
61,2,2,99.66,1,0
12,0,1,126.1,0,0
118,1,4,110.8,2,0
57,2,2,51.05,1,0
56,2,3,100.8,0,0
12,1,1,66.0,2,0
29,0,3,187.57,0,0
41,1,2,105.9,2,0
74,2,5,113.29,1,0
213,1,2,138.6,2,0
39,1,3,172.0,1,0
10,2,2,127.5,0,0
12,0,2,169.0,1,0
39,2,3,60.97,0,0
170,2,5,148.0,2,0
50,0,2,126.0,1,0
2,0,1,91.0,1,0
55,0,2,84.8,1,0
67,1,1,102.6,0,0
123,1,4,108.0,2,0
58,0,3,115.2,0,0
20,0,3,76.0,0,0
145,1,4,148.1,2,0
220,1,1,90.0,1,0
33,1,1,85.5,1,0
103,1,0,45.0,1,0
115,0,1,198.0,1,0
1,1,3,99.0,0,0
130,1,1,134.1,1,0
77,1,3,135.15,1,0
124,1,2,97.2,2,0
1,2,0,147.6,3,0
122,2,5,140.27,0,0
9,0,1,114.0,1,0
58,0,1,187.2,0,0
94,1,2,65.45,2,0
7,2,5,74.31,0,0
19,1,0,60.06,1,0
33,2,2,140.4,1,0
0,0,1,153.0,0,0
245,0,2,179.1,1,0
79,0,3,171.0,1,0
14,0,2,88.0,1,0
115,1,2,271.0,0,0
14,1,0,57.75,0,0
3,0,1,324.0,1,0
9,0,1,119.2,0,0
12,0,3,98.0,3,0
0,0,1,43.0,0,0
11,0,3,124.33,1,0
175,1,3,99.0,2,0
158,0,3,121.8,1,0
12,2,2,90.0,3,0
146,0,2,117.0,0,0
49,2,2,193.0,1,0
21,0,1,61.2,2,0
3,0,2,99.0,1,0
97,2,5,178.29,1,0
36,1,3,129.2,1,0
17,1,0,95.0,0,0
12,0,1,119.0,2,0
280,1,2,107.0,1,0
12,0,3,130.0,2,0
21,0,1,209.0,2,0
4,0,1,68.0,1,0
46,2,5,140.4,1,0
39,1,1,250.0,2,0
45,2,1,170.0,3,0
101,0,4,50.6,1,0
19,2,2,75.0,3,0
25,2,1,48.0,1,0
8,0,3,110.46,1,0
84,0,4,68.0,1,0
10,2,2,63.2,1,0
57,0,3,79.2,1,0
92,0,4,89.85,2,0
152,0,3,139.5,2,0
35,2,2,70.0,2,0
1,0,1,58.0,0,0
48,2,3,111.6,0,0
117,2,2,171.0,1,0
227,0,5,102.85,2,0
10,0,1,56.0,2,0
43,2,1,88.0,2,0
104,2,7,255.0,2,0
13,1,0,99.0,1,0
22,0,2,109.1,3,0
